created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Wed Nov 15 23:57:06 +0000 2023;1724939616103596365;"Dlu waktu Cak Imin pindah ke Anies, wwwouuu kalian rame rame bilang ada  pengkhianat.   Skrg mau ketawa aja.";0;0;0;0;in;119703610;1724939616103596365;HariHariNgetrol;https://twitter.com/HariHariNgetrol/status/1724939616103596365
Wed Nov 15 23:54:15 +0000 2023;1724938896222662740;"Anies religius  Cak Imin religius  Prabowo nasionalis Gibran tdk nasionalis tdk religius  Ganjar nasionalis Mahfud religius  Pasangan Ganjar-Mahfud yg paling melengkapi: Nasionalis+religius  #pasTIGAnjar https://t.co/tHz42o2Yiq";0;0;1;1;in;976980448218791936;1724938896222662740;anakyangmanja;https://twitter.com/anakyangmanja/status/1724938896222662740
Wed Nov 15 23:52:56 +0000 2023;1724938565690474966;"@MIrvanDarwin1 @BarBaro5_ @Kimberley_2024 @florieliciouss @are_inismyname @Chaves1305 @drReUtari08 @G0P4NK_G0P4NG_7 Kan waktu bakawan dgn Prabowo cak Imin terpengaruh. Waktu itu Demokrat berteman dgn Anies, Demokrat pun baik. Skrng kebalik, cak Imin sadar dan jd baik. Demokrat berteman dgn Prabowo. Orang baik akan cari teman baik. Orang jahat akan mencari orang jahat lain utk jd teman ...";0;2;0;1;in;1710581142733352960;1724936451849437345;sadriwalfarouq;https://twitter.com/sadriwalfarouq/status/1724938565690474966
Wed Nov 15 23:49:20 +0000 2023;1724937660354187664;"@voiceofpkb @aniesbaswedan @cakimiNOW Anis-cakimin pasangan yang serasi";0;0;0;0;in;1336717999105961984;1724423799473344570;israilpurba1973;https://twitter.com/israilpurba1973/status/1724937660354187664
Wed Nov 15 23:45:57 +0000 2023;1724936807509577835;"Ke Mamuju jangan lupa pake sepatu  Kalau mau maju jangan lupa pilih nomor SATU  #CakImin #AMINTerbaikUntukIndonesia";0;0;0;0;in;1482621276015382532;1724936807509577835;suka_cats;https://twitter.com/suka_cats/status/1724936807509577835
Wed Nov 15 23:45:42 +0000 2023;1724936744230125824;"@DPP_PKB @aniesbaswedan @cakimiNOW Bersama cak Imin, AMin menang";0;0;0;0;in;1039894149367922688;1724747590666006836;borneo_the;https://twitter.com/borneo_the/status/1724936744230125824
Wed Nov 15 23:44:45 +0000 2023;1724936507532984551;"@DeniSyahputra45 @hasyimmah 😅😅😅😅😅 tenang...tenang...Ini bukan berarti ga ada yang milih GP, kemudian semua memilih Cak Imin. Santai bossku. Kontestasi baru aja dimulai.";0;1;0;0;in;1102396000415567872;1724714705644839047;ERaksasa;https://twitter.com/ERaksasa/status/1724936507532984551
Wed Nov 15 23:39:12 +0000 2023;1724935108032163911;"@voiceofpkb @aniesbaswedan @cakimiNOW Mantap Cak Imin  No 1 Wow";0;0;0;0;in;916091480963391488;1724758289324654780;FelixSupit;https://twitter.com/FelixSupit/status/1724935108032163911
Wed Nov 15 23:28:04 +0000 2023;1724932309584064812;"@DPP_PKB @aniesbaswedan @cakimiNOW Wakil presiden punya kaliber setara mantapp Cak Imin Now";0;0;0;0;in;916091480963391488;1724747590666006836;FelixSupit;https://twitter.com/FelixSupit/status/1724932309584064812
Wed Nov 15 23:27:57 +0000 2023;1724932280047775932;"@PKSejahtera Yg berniat curang di dlm hati nya sdh ketar ketir dan berkata "waduh ketahuan deh rencana kita 😅" utk capres ku yg ganteng,cerdas dan soleh @aniesbaswedan  kami para pendukung mu siap mengawal mu hingga tuntas💕 dan utk wapres cak imin semangat mu jgn pernah padam👍😊";0;0;0;3;in;1219285039919190017;1724683925677646070;kiky_ky20;https://twitter.com/kiky_ky20/status/1724932280047775932
Wed Nov 15 23:21:24 +0000 2023;1724930627873669550;"@voiceofpkb @aniesbaswedan @cakimiNOW Seperti cak Imin pidato di saat pencabutan nmor urut. #AMINNomor1Juara1 #AniesMuhaimin2024";0;0;0;0;in;1693603882981842944;1724757090315739179;IWokas33091;https://twitter.com/IWokas33091/status/1724930627873669550
Wed Nov 15 23:15:52 +0000 2023;1724929235834318936;"@PartaiSocmed Cak imin bnyk omongannya ga realistis. Kebanyakam candaan. Daripada nge support anies, malah menurunkam elektabilitas anies. Imo 🙃";0;0;0;0;in;1362946702475362308;1724665738676580747;Starlog20;https://twitter.com/Starlog20/status/1724929235834318936
Wed Nov 15 23:15:36 +0000 2023;1724929169471987959;"@cakimiNOW Loh gimana ini cak imin malah nonton walau ndak paham do @MprAldo . Keren coldplay ya cak😄";0;0;0;0;in;217651975;1724835658542489997;Amotsky;https://twitter.com/Amotsky/status/1724929169471987959
Wed Nov 15 23:14:12 +0000 2023;1724928820048715825;"@PresidenKopi Haaaaaaaah... Dasar cak Imin, Penghianaaaaat...  Besok typo ga bakal milih cak Imin.  Besok typo pilih Anies aja 😒";0;1;0;0;in;1336862676983562240;1724768394413768809;GaTypoLagi;https://twitter.com/GaTypoLagi/status/1724928820048715825
Wed Nov 15 23:12:52 +0000 2023;1724928484055617546;"@nahdiyinbersatu @aniesbaswedan @cakimiNOW @KPU_ID Biarkan saja mereka dengan caranya masing2. Yang jelas pak anis dan cak imin sama2 orang cerdas";0;0;0;0;in;1663444310178824196;1724751210408972389;Novandy1411;https://twitter.com/Novandy1411/status/1724928484055617546
Wed Nov 15 23:10:54 +0000 2023;1724927986439504131;"@msaid_didu Prabowo cawapresnya yg pengkhianat. Anies cak imin. Keduanya pengkhianat...";0;0;0;0;in;1602675952768544768;1724641297124975099;BH4RAT4_JA;https://twitter.com/BH4RAT4_JA/status/1724927986439504131
Wed Nov 15 23:10:12 +0000 2023;1724927813386469856;"@ezakatsuki2 @ainunnajib @BosPurwa @cakimiNOW Iya awalnya sempet  kecewa Anies dg cak Imin, sekarang saya paham kenapa Anis pilih cak Imin, karena Anis yakin cak Imin memang yg terbaik yg Allah siapkan utk JD pendamping";0;0;0;1;in;1577595626380201984;1724569146854113457;mozzzitamtam;https://twitter.com/mozzzitamtam/status/1724927813386469856
Wed Nov 15 23:04:39 +0000 2023;1724926414200390008;"Ini komentar nya pada tolol tolol apa ya, posisi cak Imin ini nasionalis, ga ikut sayap kanan, ga ikut sayap kiri, cak Imin bela Palestina ya karena hati, nonton konser bukan berarti Kampanyekan LGBT, tolol banget dah, cak Imin cuma nganterin anak nya ikut nonton konser juga.";1;1;0;0;in;1693415071161163776;1724926414200390008;dariwongcilik;https://twitter.com/dariwongcilik/status/1724926414200390008
